Ref,Val,Package,PosX,PosY,Rot,Side
"C6","100pF","C_0603_1608Metric",-130.300000,-62.500000,-90.000000,bottom
"C7","0.022uF","C_0603_1608Metric",-127.300000,-62.500000,-90.000000,bottom
"C10","0.1uF","C_0603_1608Metric",-131.800000,-62.500000,-90.000000,bottom
"C12","100pF","C_0603_1608Metric",-134.900000,-60.900000,-90.000000,bottom
"C14","0.022uF","C_0603_1608Metric",-133.300000,-62.500000,-90.000000,bottom
"C15","47pF","C_0603_1608Metric",-124.300000,-62.500000,90.000000,bottom
"C16","47pF","C_0603_1608Metric",-137.400000,-66.300000,90.000000,bottom
"C17","47pF","C_0603_1608Metric",-137.400000,-69.600000,90.000000,bottom
"C18","100pF","C_0603_1608Metric",-138.300000,-98.100000,-90.000000,bottom
"C19","100pF","C_0603_1608Metric",-154.300000,-91.800000,90.000000,bottom
"C20","0.1uF","C_0603_1608Metric",-126.700000,-71.000000,90.000000,bottom
"C21","0.1uF","C_0603_1608Metric",-134.800000,-73.000000,90.000000,bottom
"C23","1uF","C_0603_1608Metric",-129.600000,-71.700000,0.000000,bottom
"C33","10uF","C_1206_3216Metric",-157.700000,-103.300000,-90.000000,bottom
"C35","4.7uF","C_0805_2012Metric",-161.300000,-103.600000,-90.000000,bottom
"C44","4.7uF","C_1206_3216Metric",-117.100000,-100.400000,90.000000,bottom
"C45","4.7uF","C_1206_3216Metric",-120.400000,-100.400000,90.000000,bottom
"C46","10uF","C_1206_3216Metric",-154.500000,-103.300000,-90.000000,bottom
"C47","10uF","C_1206_3216Metric",-151.700000,-103.300000,-90.000000,bottom
"C48","10uF","C_1206_3216Metric",-148.500000,-105.900000,-90.000000,bottom
"D1","60V","D_SMC",-134.000000,-94.700000,-90.000000,bottom
"D2","BAS316","D_SOD-323",-127.500000,-73.500000,0.000000,bottom
"D3","BAS316","D_SOD-323",-132.400000,-73.500000,180.000000,bottom
"D4","30V","D_SMC",-150.000000,-95.200000,90.000000,bottom
"R2","27.4K","R_0603_1608Metric",-126.000000,-65.500000,0.000000,bottom
"R3","27.4K","R_0603_1608Metric",-126.000000,-67.100000,180.000000,bottom
"R4","27.4K","R_0603_1608Metric",-128.800000,-62.500000,90.000000,bottom
"R5","10K","R_0603_1608Metric",-133.300000,-59.400000,-90.000000,bottom
"R6","93.1K","R_0603_1608Metric",-125.800000,-62.500000,-90.000000,bottom
"R7","100R","R_0603_1608Metric",-139.700000,-65.500000,0.000000,bottom
"R8","100R","R_0603_1608Metric",-139.700000,-67.100000,0.000000,bottom
"R9","10R","R_0603_1608Metric",-137.500000,-61.900000,-90.000000,bottom
"R10","10R","R_0603_1608Metric",-139.800000,-62.700000,0.000000,bottom
"R11","100R","R_0603_1608Metric",-139.700000,-70.400000,0.000000,bottom
"R12","100R","R_0603_1608Metric",-139.700000,-68.800000,0.000000,bottom
"R13","10R","R_0603_1608Metric",-138.300000,-91.800000,-90.000000,bottom
"R15","10R","R_0603_1608Metric",-154.300000,-98.600000,90.000000,bottom
"R20","10K","R_0603_1608Metric",-136.400000,-73.000000,90.000000,bottom
"U1","LM34936-Q1","QFN-28_5x4",-132.000000,-68.000000,-90.000000,bottom
